id,image_src,shape,lens_width,gender,color,face_shape,skin,width,target
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/KAO1927297_1.jpg?v=1603961455,aviator,55,female,black,round,dark,56,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/KAO2027322_1.jpg?v=1678325725,aviator,52,male,black,round,dark,53,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/KAO2027325_1.jpg?v=1678325757,aviator,57,male,gold,round,dark,58,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LAO2028916_1_a4efa15d-1c75-443a-b770-92293d17a42f.jpg?v=1603956904,aviator,51,male,black,round,dark,52,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LAO2028921_1.jpg?v=1603956933,aviator,53,male,black,round,dark,54,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LSO1926564_1.jpg?v=1625028736,aviator,54,female,pink,round,light,55,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LSO1926567_1.jpg?v=1625028748,aviator,56,male,gold,round,dark,57,
5.32E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/CBO1993051_1.jpg?v=1603959918,aviator,56,male,gold,round,dark,57,
6.61E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LSO2026670_1.jpg?v=1627360210,aviator,55,male,gold,round,dark,56,
7.15E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/GG1442O002_1.jpg?v=1692776069,rectangle,55,male,gold,oval,light,56,
7.15E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/GG1476OK001_1.jpg?v=1689328302,rectangle,55,female,black,oval,light,56,
7.15E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/SL645F001_1.jpg?v=1692776167,rectangle,55,male,black,oval,light,56,
7.15E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/SL186BSLIM001_1.jpg?v=1689328751,rectangle,53,male,black,oval,light,54,
6.73E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1129OJ001_1.jpg?v=1642644445,rectangle,52,female,black,oval,light,53,
6.58E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG0934OA001_1.jpg?v=1625040669,rectangle,54,male,black,oval,light,55,
